ipsource,entropy ipdest,entropy portdst,ipdest,portdest,Num de cluster
193.194.107.163,5.044394119358454,-0.0,"['193.194.76.253', '193.194.76.231', '193.194.76.228', '193.194.76.234', '193.194.76.252', '193.194.76.248', '193.194.76.247', '193.194.76.245', '193.194.76.224', '193.194.76.242', '193.194.76.227', '193.194.76.239', '193.194.76.232', '193.194.76.249', '193.194.76.246', '193.194.76.237', '193.194.76.243', '193.194.76.222', '193.194.76.229', '193.194.76.251', '193.194.76.236', '193.194.76.225', '193.194.76.241', '193.194.76.244', '193.194.76.230', '193.194.76.238', '193.194.76.223', '193.194.76.233', '193.194.76.235', '193.194.76.250', '193.194.76.240', '193.194.76.254', '193.194.76.226', '193.194.76.244', '193.194.76.235', '193.194.76.253', '193.194.76.248', '193.194.76.230', '193.194.76.229', '193.194.76.233', '193.194.76.238', '193.194.76.236', '193.194.76.228', '193.194.76.226', '193.194.76.252', '193.194.76.223', '193.194.76.231', '193.194.76.254', '193.194.76.239', '193.194.76.240', '193.194.76.242', '193.194.76.250', '193.194.76.251', '193.194.76.224', '193.194.76.237', '193.194.76.222', '193.194.76.227', '193.194.76.234', '193.194.76.245', '193.194.76.249', '193.194.76.241', '193.194.76.246', '193.194.76.243', '193.194.76.232', '193.194.76.247', '193.194.76.225', '193.194.76.239', '193.194.76.234', '193.194.76.223', '193.194.76.222', '193.194.76.236', '193.194.76.244', '193.194.76.246', '193.194.76.237', '193.194.76.232', '193.194.76.254', '193.194.76.230', '193.194.76.242', '193.194.76.224', '193.194.76.233', '193.194.76.249', '193.194.76.227', '193.194.76.245', '193.194.76.228', '193.194.76.241', '193.194.76.235', '193.194.76.243', '193.194.76.229', '193.194.76.226', '193.194.76.238', '193.194.76.225', '193.194.76.251', '193.194.76.248', '193.194.76.247', '193.194.76.231', '193.194.76.253', '193.194.76.252', '193.194.76.250', '193.194.76.240', '193.194.76.236', '193.194.76.253', '193.194.76.249', '193.194.76.225', '193.194.76.250', '193.194.76.233', '193.194.76.245', '193.194.76.222', '193.194.76.230', '193.194.76.251', '193.194.76.237', '193.194.76.243', '193.194.76.227', '193.194.76.254', '193.194.76.238', '193.194.76.234', '193.194.76.244', '193.194.76.226', '193.194.76.223', '193.194.76.235', '193.194.76.228', '193.194.76.240', '193.194.76.248', '193.194.76.231', '193.194.76.241', '193.194.76.232', '193.194.76.229', '193.194.76.252', '193.194.76.224', '193.194.76.246', '193.194.76.247', '193.194.76.242', '193.194.76.239', '193.194.76.249', '193.194.76.239', '193.194.76.238', '193.194.76.228', '193.194.76.230', '193.194.76.247', '193.194.76.222', '193.194.76.231', '193.194.76.225', '193.194.76.224', '193.194.76.253', '193.194.76.250', '193.194.76.246', '193.194.76.248', '193.194.76.236', '193.194.76.252', '193.194.76.241', '193.194.76.226', '193.194.76.254', '193.194.76.245', '193.194.76.243', '193.194.76.235', '193.194.76.251', '193.194.76.234', '193.194.76.223', '193.194.76.240', '193.194.76.233', '193.194.76.244', '193.194.76.237', '193.194.76.229', '193.194.76.232', '193.194.76.227', '193.194.76.242']","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]",5
193.226.177.40,-0.0,-0.0,['193.194.76.225'],[23],1
193.232.100.109,1.0,-0.0,"['193.194.76.235', '193.194.76.226']","[445, 445]",8
193.233.6.173,3.906890595608518,-0.0,"['193.194.76.254', '193.194.76.250', '193.194.76.244', '193.194.76.243', '193.194.76.226', '193.194.76.247', '193.194.76.251', '193.194.76.253', '193.194.76.234', '193.194.76.231', '193.194.76.232', '193.194.76.237', '193.194.76.222', '193.194.76.227', '193.194.76.245']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445]",57
193.248.135.79,5.044394119358454,-0.0,"['193.194.76.222', '193.194.76.223', '193.194.76.224', '193.194.76.225', '193.194.76.226', '193.194.76.227', '193.194.76.228', '193.194.76.230', '193.194.76.229', '193.194.76.231', '193.194.76.232', '193.194.76.233', '193.194.76.234', '193.194.76.236', '193.194.76.235', '193.194.76.237', '193.194.76.238', '193.194.76.239', '193.194.76.240', '193.194.76.241', '193.194.76.242', '193.194.76.243', '193.194.76.222', '193.194.76.223', '193.194.76.225', '193.194.76.224', '193.194.76.228', '193.194.76.227', '193.194.76.226', '193.194.76.229', '193.194.76.230', '193.194.76.231', '193.194.76.232', '193.194.76.235', '193.194.76.233', '193.194.76.237', '193.194.76.234', '193.194.76.236', '193.194.76.239', '193.194.76.238', '193.194.76.240', '193.194.76.242', '193.194.76.241', '193.194.76.243', '193.194.76.244', '193.194.76.245', '193.194.76.246', '193.194.76.247', '193.194.76.248', '193.194.76.249', '193.194.76.250', '193.194.76.251', '193.194.76.252', '193.194.76.253', '193.194.76.254', '193.194.76.244', '193.194.76.247', '193.194.76.248', '193.194.76.245', '193.194.76.249', '193.194.76.246', '193.194.76.250', '193.194.76.254', '193.194.76.252', '193.194.76.251', '193.194.76.253']","[6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379, 6379]",5
193.251.38.164,-0.0,-0.0,['193.194.76.243'],[81],1
193.31.207.140,-0.0,-0.0,['193.194.76.222'],[23],1
193.32.161.48,4.943131063339886,2.1270784069005817,"['193.194.76.226', '193.194.76.234', '193.194.76.235', '193.194.76.240', '193.194.76.222', '193.194.76.243', '193.194.76.244', '193.194.76.236', '193.194.76.246', '193.194.76.233', '193.194.76.238', '193.194.76.227', '193.194.76.225', '193.194.76.247', '193.194.76.223', '193.194.76.229', '193.194.76.253', '193.194.76.254', '193.194.76.237', '193.194.76.254', '193.194.76.253', '193.194.76.251', '193.194.76.252', '193.194.76.237', '193.194.76.222', '193.194.76.228', '193.194.76.246', '193.194.76.227', '193.194.76.242', '193.194.76.249', '193.194.76.232', '193.194.76.240', '193.194.76.233', '193.194.76.224', '193.194.76.241', '193.194.76.248', '193.194.76.235', '193.194.76.225', '193.194.76.239', '193.194.76.245', '193.194.76.231', '193.194.76.250', '193.194.76.247', '193.194.76.243', '193.194.76.238', '193.194.76.236', '193.194.76.229', '193.194.76.244', '193.194.76.251', '193.194.76.246', '193.194.76.248', '193.194.76.254', '193.194.76.249', '193.194.76.250', '193.194.76.252', '193.194.76.226', '193.194.76.223', '193.194.76.230', '193.194.76.247', '193.194.76.251', '193.194.76.234', '193.194.76.243', '193.194.76.229', '193.194.76.240', '193.194.76.253', '193.194.76.222', '193.194.76.228', '193.194.76.251', '193.194.76.249', '193.194.76.232', '193.194.76.228', '193.194.76.230', '193.194.76.229', '193.194.76.225', '193.194.76.235', '193.194.76.234', '193.194.76.242', '193.194.76.248', '193.194.76.247', '193.194.76.246']","[35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35967, 35966, 35967, 35967, 35967, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35965, 35966, 35966, 35966, 35966, 35966, 35966, 35966, 35965, 35965, 35965, 35966, 59233, 59234, 59235, 59234, 59234, 59235, 59235, 59235, 59235, 59235, 59235, 59234, 59235, 59235, 59235, 59235, 59235, 59235, 59235, 59235, 59235]",27
193.32.163.110,4.368522527728206,1.1770225546116342,"['193.194.76.252', '193.194.76.249', '193.194.76.237', '193.194.76.235', '193.194.76.254', '193.194.76.251', '193.194.76.250', '193.194.76.228', '193.194.76.223', '193.194.76.243', '193.194.76.248', '193.194.76.244', '193.194.76.231', '193.194.76.229', '193.194.76.250', '193.194.76.246', '193.194.76.225', '193.194.76.230', '193.194.76.236', '193.194.76.245', '193.194.76.238', '193.194.76.222']","[3390, 3390, 3489, 3489, 3489, 3489, 3489, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389, 3389]",43
193.32.163.72,4.889049535914168,2.115756203774408,"['193.194.76.236', '193.194.76.252', '193.194.76.242', '193.194.76.235', '193.194.76.234', '193.194.76.232', '193.194.76.254', '193.194.76.246', '193.194.76.245', '193.194.76.253', '193.194.76.253', '193.194.76.244', '193.194.76.243', '193.194.76.229', '193.194.76.251', '193.194.76.224', '193.194.76.250', '193.194.76.235', '193.194.76.248', '193.194.76.241', '193.194.76.247', '193.194.76.224', '193.194.76.238', '193.194.76.225', '193.194.76.227', '193.194.76.244', '193.194.76.229', '193.194.76.254', '193.194.76.223', '193.194.76.241', '193.194.76.239', '193.194.76.250', '193.194.76.230', '193.194.76.223', '193.194.76.234', '193.194.76.242', '193.194.76.247', '193.194.76.234', '193.194.76.249', '193.194.76.233', '193.194.76.236', '193.194.76.252', '193.194.76.226', '193.194.76.225', '193.194.76.232', '193.194.76.254', '193.194.76.246', '193.194.76.246', '193.194.76.232', '193.194.76.222', '193.194.76.226', '193.194.76.240', '193.194.76.251', '193.194.76.229', '193.194.76.223', '193.194.76.249', '193.194.76.240', '193.194.76.228', '193.194.76.247', '193.194.76.244', '193.194.76.237', '193.194.76.238']","[3333, 3337, 3337, 3337, 3337, 3337, 3337, 3337, 3337, 3337, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3337, 3337, 3337, 3337, 3337, 3337, 3337, 3337, 3333, 3333, 3333, 3333, 3333, 3333, 3336, 3336, 3336, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3339, 3333, 3333, 3333, 3333, 3333, 3333, 3333, 3338, 3338, 3338, 3338, 3338, 3338, 3338, 3338]",27
