,date,ipsrc,ipdst,protocol,portdst
Apr-29, 2019 18:56:23.873147000,45.55.52.249,193.194.76.254,6,81
Apr-29, 2019 18:56:24.529685000,188.246.224.44,193.194.76.228,6,3397
Apr-29, 2019 18:56:25.889218000,196.52.43.104,193.194.76.247,6,5432
Apr-29, 2019 18:56:26.425525000,103.29.70.204,193.194.76.225,6,8088
Apr-29, 2019 18:56:26.545730000,193.194.103.77,193.194.76.228,6,8291
Apr-29, 2019 18:56:27.152553000,185.176.27.34,193.194.76.223,6,5050
Apr-29, 2019 18:56:31.571947000,81.22.45.251,193.194.76.239,6,5927
Apr-29, 2019 18:56:31.576473000,193.194.103.77,193.194.76.240,6,8291
Apr-29, 2019 18:56:34.316591000,116.106.96.33,193.194.76.235,6,23
Apr-29, 2019 18:56:34.686323000,197.41.205.186,193.194.76.235,6,23
Apr-29, 2019 18:56:36.827865000,89.248.174.3,193.194.76.236,6,1311
Apr-29, 2019 18:56:37.007879000,81.22.45.251,193.194.76.232,6,5927
Apr-29, 2019 18:56:39.915923000,102.165.35.143,193.194.76.243,6,1900
Apr-29, 2019 18:56:40.390813000,128.14.209.227,193.194.76.236,6,80
Apr-29, 2019 18:56:41.900417000,185.216.140.6,193.194.76.241,6,51001
Apr-29, 2019 18:56:42.133235000,81.22.45.251,193.194.76.224,6,5927
Apr-29, 2019 18:56:42.209724000,103.207.171.77,193.194.76.244,6,23
Apr-29, 2019 18:56:43.962258000,27.8.171.86,193.194.76.251,6,23
Apr-29, 2019 18:56:45.860887000,89.248.174.3,193.194.76.251,6,1311
Apr-29, 2019 18:56:48.381085000,42.3.28.41,193.194.76.242,6,5555
Apr-29, 2019 18:56:51.265060000,191.242.232.46,193.194.76.224,6,445
Apr-29, 2019 18:56:52.300709000,185.216.140.6,193.194.76.236,6,51001
Apr-29, 2019 18:56:52.801344000,185.216.140.6,193.194.76.240,6,51001
Apr-29, 2019 18:56:54.438178000,185.216.140.6,193.194.76.237,6,51001
Apr-29, 2019 18:56:55.908188000,218.156.102.240,193.194.76.226,6,23
Apr-29, 2019 18:56:56.059137000,89.248.174.3,193.194.76.224,6,1311
Apr-29, 2019 18:56:59.197746000,134.209.145.42,193.194.76.234,6,23
Apr-29, 2019 18:57:02.642965000,46.232.112.17,193.194.76.230,6,1453
Apr-29, 2019 18:57:02.722252000,89.248.174.3,193.194.76.247,6,1311
Apr-29, 2019 18:57:03.231803000,198.20.99.130,193.194.76.246,6,82
Apr-29, 2019 18:57:03.307854000,185.216.140.6,193.194.76.233,6,51001
Apr-29, 2019 18:57:06.314350000,198.108.66.253,193.194.76.226,6,1311
Apr-29, 2019 18:57:06.498040000,196.52.43.122,193.194.76.242,6,9200
Apr-29, 2019 18:57:06.633316000,185.176.27.2,193.194.76.227,6,3333
Apr-29, 2019 18:57:07.907301000,198.108.67.51,193.194.76.228,6,7778
Apr-29, 2019 18:57:08.014659000,194.93.59.13,193.194.76.238,6,7789
Apr-29, 2019 18:57:09.706537000,185.216.140.6,193.194.76.226,6,51001
Apr-29, 2019 18:57:09.932076000,89.248.174.3,193.194.76.225,6,1311
Apr-29, 2019 18:57:10.568014000,193.194.103.77,193.194.76.223,6,7547
Apr-29, 2019 18:57:11.154338000,185.176.26.105,193.194.76.225,6,26102
Apr-29, 2019 18:57:11.325585000,89.248.174.3,193.194.76.244,6,1311
Apr-29, 2019 18:57:12.472352000,198.108.67.82,193.194.76.236,6,1023
Apr-29, 2019 18:57:12.720241000,46.232.112.17,193.194.76.245,6,1453
Apr-29, 2019 18:57:13.639905000,5.189.189.195,193.194.76.252,6,81
Apr-29, 2019 18:57:14.099150000,81.22.45.251,193.194.76.222,6,5927
Apr-29, 2019 18:57:14.100455000,81.22.45.251,193.194.76.225,6,5927
Apr-29, 2019 18:57:15.026149000,124.78.72.147,193.194.76.251,6,445
Apr-29, 2019 18:57:15.809342000,88.83.205.41,193.194.76.240,6,445
Apr-29, 2019 18:57:16.831058000,85.172.79.25,193.194.76.252,6,445
Apr-29, 2019 18:57:18.887652000,46.232.112.17,193.194.76.227,6,1453
Apr-29, 2019 18:57:18.887658000,46.232.112.17,193.194.76.252,6,1453
Apr-29, 2019 18:57:19.664985000,81.22.45.251,193.194.76.246,6,5927
Apr-29, 2019 18:57:20.495813000,71.6.232.5,193.194.76.243,6,53
Apr-29, 2019 18:57:21.806228000,46.232.112.17,193.194.76.222,6,1453
Apr-29, 2019 18:57:22.453399000,188.246.224.24,193.194.76.248,6,3390
Apr-29, 2019 18:57:22.535873000,81.22.45.251,193.194.76.241,6,5927
Apr-29, 2019 18:57:22.737710000,216.243.31.2,193.194.76.245,6,443
Apr-29, 2019 18:57:23.050111000,81.22.45.251,193.194.76.248,6,5927
Apr-29, 2019 18:57:23.442213000,46.232.112.17,193.194.76.236,6,1453
Apr-29, 2019 18:57:24.303929000,71.6.143.92,193.194.76.239,6,80
Apr-29, 2019 18:57:24.502540000,103.111.70.31,193.194.76.229,6,23
Apr-29, 2019 18:57:25.675470000,188.246.224.24,193.194.76.254,6,3390
Apr-29, 2019 18:57:26.152847000,172.104.65.226,193.194.76.229,6,3128
Apr-29, 2019 18:57:27.539881000,185.176.27.2,193.194.76.238,6,3333
Apr-29, 2019 18:57:27.794978000,171.229.230.131,193.194.76.253,6,23
Apr-29, 2019 18:57:28.498345000,188.246.224.24,193.194.76.242,6,3390
Apr-29, 2019 18:57:28.910202000,85.132.79.110,193.194.76.251,6,445
Apr-29, 2019 18:57:30.054627000,71.6.143.92,193.194.76.226,6,80
Apr-29, 2019 18:57:31.638756000,185.176.27.162,193.194.76.230,6,10474
Apr-29, 2019 18:57:31.791549000,185.173.35.1,193.194.76.245,6,5909
Apr-29, 2019 18:57:32.288550000,209.126.230.71,193.194.76.229,6,65212
Apr-29, 2019 18:57:32.968435000,2.132.109.149,193.194.76.225,6,8080
