ipsource,entropy ipdest,entropy portdst,ipdest,portdest
102.165.35.131,5.044394119358454,-0.0,"['193.194.76.222', '193.194.76.223', '193.194.76.224', '193.194.76.225', '193.194.76.226', '193.194.76.227', '193.194.76.229', '193.194.76.230', '193.194.76.231', '193.194.76.232', '193.194.76.233', '193.194.76.234', '193.194.76.235', '193.194.76.236', '193.194.76.228', '193.194.76.239', '193.194.76.240', '193.194.76.241', '193.194.76.242', '193.194.76.243', '193.194.76.245', '193.194.76.237', '193.194.76.238', '193.194.76.247', '193.194.76.248', '193.194.76.249', '193.194.76.244', '193.194.76.246', '193.194.76.253', '193.194.76.254', '193.194.76.250', '193.194.76.251', '193.194.76.252']","[1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433, 1433]"
102.165.35.143,4.643856189774724,-0.0,"['193.194.76.243', '193.194.76.238', '193.194.76.231', '193.194.76.254', '193.194.76.253', '193.194.76.236', '193.194.76.240', '193.194.76.233', '193.194.76.237', '193.194.76.223', '193.194.76.247', '193.194.76.241', '193.194.76.239', '193.194.76.252', '193.194.76.242', '193.194.76.229', '193.194.76.245', '193.194.76.244', '193.194.76.226', '193.194.76.225', '193.194.76.246', '193.194.76.228', '193.194.76.230', '193.194.76.234', '193.194.76.250']","[1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 1900]"
102.165.48.138,-0.0,-0.0,['193.194.76.248'],[445]
103.102.100.38,-0.0,-0.0,['193.194.76.253'],[23]
103.107.114.124,-0.0,-0.0,['193.194.76.240'],[23]
103.107.245.3,3.321928094887362,-0.0,"['193.194.76.248', '193.194.76.247', '193.194.76.236', '193.194.76.230', '193.194.76.224', '193.194.76.246', '193.194.76.237', '193.194.76.242', '193.194.76.231', '193.194.76.245']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445]"
103.110.39.252,-0.0,-0.0,['193.194.76.235'],[80]
103.111.70.31,-0.0,-0.0,['193.194.76.229'],[23]
103.114.104.140,-0.0,-0.0,"['193.194.76.230', '193.194.76.230']","[25, 25]"
103.122.32.118,-0.0,-0.0,['193.194.76.227'],[23]
103.129.105.154,-0.0,-0.0,['193.194.76.234'],[8080]
103.132.6.2,-0.0,-0.0,['193.194.76.240'],[23]
103.135.39.238,-0.0,-0.0,['193.194.76.226'],[23]
103.136.40.183,2.321928094887362,-0.0,"['193.194.76.246', '193.194.76.249', '193.194.76.254', '193.194.76.237', '193.194.76.227']","[8088, 8088, 8088, 8088, 8088]"
103.193.243.85,4.85798099512757,-0.0,"['193.194.76.252', '193.194.76.239', '193.194.76.230', '193.194.76.235', '193.194.76.243', '193.194.76.233', '193.194.76.251', '193.194.76.231', '193.194.76.222', '193.194.76.254', '193.194.76.232', '193.194.76.237', '193.194.76.234', '193.194.76.224', '193.194.76.245', '193.194.76.249', '193.194.76.238', '193.194.76.247', '193.194.76.229', '193.194.76.225', '193.194.76.236', '193.194.76.250', '193.194.76.241', '193.194.76.223', '193.194.76.242', '193.194.76.246', '193.194.76.227', '193.194.76.248', '193.194.76.253']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445]"
103.197.143.28,-0.0,-0.0,['193.194.76.237'],[5431]
103.197.46.38,-0.0,-0.0,['193.194.76.241'],[80]
103.198.125.54,-0.0,-0.0,['193.194.76.249'],[23]
103.200.5.105,-0.0,-0.0,['193.194.76.253'],[8545]
103.201.24.160,3.0,-0.0,"['193.194.76.222', '193.194.76.231', '193.194.76.247', '193.194.76.233', '193.194.76.236', '193.194.76.224', '193.194.76.241', '193.194.76.245']","[445, 445, 445, 445, 445, 445, 445, 445]"
103.203.94.114,-0.0,-0.0,['193.194.76.229'],[23]
103.206.102.136,-0.0,-0.0,['193.194.76.231'],[80]
103.207.171.77,-0.0,-0.0,['193.194.76.244'],[23]
103.207.37.40,-0.0,-0.0,"['193.194.76.241', '193.194.76.241']","[25, 25]"
103.215.202.23,-0.0,-0.0,['193.194.76.248'],[8080]
103.215.26.238,-0.0,-0.0,['193.194.76.243'],[8080]
103.219.140.74,-0.0,-0.0,['193.194.76.223'],[23]
103.233.122.85,-0.0,-0.0,['193.194.76.253'],[23]
103.234.226.27,-0.0,-0.0,['193.194.76.252'],[23]
103.249.239.221,-0.0,-0.0,['193.194.76.235'],[22]
103.25.75.210,2.584962500721156,-0.0,"['193.194.76.239', '193.194.76.226', '193.194.76.245', '193.194.76.228', '193.194.76.233', '193.194.76.232']","[445, 445, 445, 445, 445, 445]"
103.29.69.96,1.0,-0.0,"['193.194.76.250', '193.194.76.247']","[554, 554]"
103.29.70.204,1.0,-0.0,"['193.194.76.225', '193.194.76.238']","[8088, 8088]"
103.36.52.107,1.584962500721156,-0.0,"['193.194.76.222', '193.194.76.242', '193.194.76.228']","[445, 445, 445]"
103.43.6.20,-0.0,-0.0,['193.194.76.252'],[8080]
103.45.109.251,-0.0,-0.0,"['193.194.76.246', '193.194.76.246']","[7002, 7002]"
103.47.219.134,-0.0,-0.0,['193.194.76.248'],[8080]
103.50.158.0,-0.0,-0.0,['193.194.76.251'],[23]
103.53.110.59,-0.0,-0.0,['193.194.76.254'],[23]
103.74.192.106,-0.0,-0.0,['193.194.76.229'],[5555]
103.79.79.146,3.321928094887362,-0.0,"['193.194.76.232', '193.194.76.230', '193.194.76.231', '193.194.76.225', '193.194.76.234', '193.194.76.236', '193.194.76.244', '193.194.76.235', '193.194.76.237', '193.194.76.246']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445]"
103.87.47.8,-0.0,-0.0,['193.194.76.246'],[80]
103.90.204.162,-0.0,-0.0,['193.194.76.250'],[80]
104.158.45.234,-0.0,-0.0,['193.194.76.244'],[5555]
104.171.121.190,2.321928094887362,-0.0,"['193.194.76.244', '193.194.76.249', '193.194.76.253', '193.194.76.225', '193.194.76.237']","[445, 445, 445, 445, 445]"
104.217.183.198,-0.0,-0.0,['193.194.76.248'],[445]
104.237.228.140,1.584962500721156,-0.0,"['193.194.76.246', '193.194.76.244', '193.194.76.223']","[445, 445, 445]"
104.248.169.173,-0.0,-0.0,"['193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229', '193.194.76.229']","[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
104.248.185.25,1.584962500721156,-0.0,"['193.194.76.251', '193.194.76.249', '193.194.76.243']","[8545, 8545, 8545]"
104.248.80.173,1.584962500721156,-0.0,"['193.194.76.224', '193.194.76.248', '193.194.76.252']","[22, 22, 22]"
104.248.95.188,1.584962500721156,-0.0,"['193.194.76.250', '193.194.76.225', '193.194.76.227']","[22, 22, 22]"
105.155.2.159,1.0,-0.0,"['193.194.76.248', '193.194.76.233']","[23, 23]"
105.176.32.242,-0.0,-0.0,['193.194.76.224'],[5555]
105.188.68.83,-0.0,-0.0,['193.194.76.244'],[445]
105.98.150.217,-0.0,-0.0,['193.194.76.254'],[22]
106.12.131.39,-0.0,-0.0,"['193.194.76.234', '193.194.76.234', '193.194.76.234']","[23, 23, 23]"
106.12.133.63,-0.0,-0.0,['193.194.76.224'],[5984]
106.12.133.68,-0.0,-0.0,['193.194.76.226'],[23]
106.12.215.196,-0.0,-0.0,['193.194.76.234'],[23]
106.12.216.107,-0.0,-0.0,['193.194.76.228'],[23]
106.124.115.235,-0.0,-0.0,['193.194.76.254'],[23]
106.13.61.93,-0.0,-0.0,['193.194.76.234'],[80]
106.13.94.231,-0.0,-0.0,['193.194.76.249'],[23]
106.186.22.252,1.0,-0.0,"['193.194.76.228', '193.194.76.231']","[445, 445]"
106.201.239.93,-0.0,-0.0,['193.194.76.226'],[23]
106.38.108.28,-0.0,-0.0,['193.194.76.236'],[23]
106.68.22.163,-0.0,-0.0,['193.194.76.232'],[9000]
107.130.61.69,-0.0,-0.0,['193.194.76.250'],[8080]
107.170.198.108,5.044394119358454,-0.0,"['193.194.76.233', '193.194.76.222', '193.194.76.237', '193.194.76.234', '193.194.76.242', '193.194.76.235', '193.194.76.229', '193.194.76.247', '193.194.76.223', '193.194.76.253', '193.194.76.251', '193.194.76.238', '193.194.76.225', '193.194.76.227', '193.194.76.230', '193.194.76.245', '193.194.76.232', '193.194.76.244', '193.194.76.228', '193.194.76.243', '193.194.76.240', '193.194.76.241', '193.194.76.231', '193.194.76.246', '193.194.76.249', '193.194.76.252', '193.194.76.236', '193.194.76.250', '193.194.76.224', '193.194.76.254', '193.194.76.248', '193.194.76.239', '193.194.76.226']","[3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128, 3128]"
107.170.202.74,5.044394119358454,-0.0,"['193.194.76.228', '193.194.76.223', '193.194.76.254', '193.194.76.232', '193.194.76.229', '193.194.76.246', '193.194.76.226', '193.194.76.240', '193.194.76.231', '193.194.76.227', '193.194.76.222', '193.194.76.225', '193.194.76.243', '193.194.76.252', '193.194.76.238', '193.194.76.235', '193.194.76.253', '193.194.76.247', '193.194.76.224', '193.194.76.239', '193.194.76.242', '193.194.76.248', '193.194.76.245', '193.194.76.233', '193.194.76.234', '193.194.76.236', '193.194.76.237', '193.194.76.250', '193.194.76.249', '193.194.76.244', '193.194.76.251', '193.194.76.230', '193.194.76.241']","[2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376, 2376]"
107.170.204.26,5.044394119358454,-0.0,"['193.194.76.236', '193.194.76.229', '193.194.76.245', '193.194.76.231', '193.194.76.237', '193.194.76.249', '193.194.76.226', '193.194.76.253', '193.194.76.239', '193.194.76.233', '193.194.76.242', '193.194.76.254', '193.194.76.250', '193.194.76.224', '193.194.76.247', '193.194.76.227', '193.194.76.252', '193.194.76.243', '193.194.76.225', '193.194.76.248', '193.194.76.222', '193.194.76.238', '193.194.76.232', '193.194.76.223', '193.194.76.246', '193.194.76.251', '193.194.76.230', '193.194.76.244', '193.194.76.228', '193.194.76.235', '193.194.76.234', '193.194.76.240', '193.194.76.241']","[27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017, 27017]"
107.170.225.119,5.044394119358454,-0.0,"['193.194.76.236', '193.194.76.225', '193.194.76.244', '193.194.76.250', '193.194.76.230', '193.194.76.227', '193.194.76.228', '193.194.76.234', '193.194.76.229', '193.194.76.235', '193.194.76.231', '193.194.76.238', '193.194.76.245', '193.194.76.239', '193.194.76.232', '193.194.76.243', '193.194.76.226', '193.194.76.247', '193.194.76.252', '193.194.76.246', '193.194.76.240', '193.194.76.254', '193.194.76.233', '193.194.76.223', '193.194.76.248', '193.194.76.253', '193.194.76.241', '193.194.76.249', '193.194.76.222', '193.194.76.251', '193.194.76.242', '193.194.76.237', '193.194.76.224']","[2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323, 2323]"
107.170.234.142,5.044394119358454,-0.0,"['193.194.76.234', '193.194.76.237', '193.194.76.247', '193.194.76.242', '193.194.76.252', '193.194.76.226', '193.194.76.238', '193.194.76.250', '193.194.76.239', '193.194.76.251', '193.194.76.231', '193.194.76.244', '193.194.76.254', '193.194.76.222', '193.194.76.245', '193.194.76.248', '193.194.76.240', '193.194.76.236', '193.194.76.249', '193.194.76.223', '193.194.76.228', '193.194.76.227', '193.194.76.235', '193.194.76.229', '193.194.76.230', '193.194.76.233', '193.194.76.243', '193.194.76.241', '193.194.76.253', '193.194.76.224', '193.194.76.225', '193.194.76.246', '193.194.76.232']","[2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222, 2222]"
107.170.237.129,5.044394119358454,-0.0,"['193.194.76.225', '193.194.76.227', '193.194.76.242', '193.194.76.237', '193.194.76.253', '193.194.76.231', '193.194.76.235', '193.194.76.243', '193.194.76.229', '193.194.76.249', '193.194.76.224', '193.194.76.244', '193.194.76.233', '193.194.76.240', '193.194.76.252', '193.194.76.241', '193.194.76.232', '193.194.76.251', '193.194.76.234', '193.194.76.238', '193.194.76.245', '193.194.76.230', '193.194.76.228', '193.194.76.222', '193.194.76.248', '193.194.76.223', '193.194.76.226', '193.194.76.254', '193.194.76.250', '193.194.76.247', '193.194.76.239', '193.194.76.236', '193.194.76.246']","[27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018]"
107.170.240.8,5.044394119358454,-0.0,"['193.194.76.250', '193.194.76.229', '193.194.76.236', '193.194.76.249', '193.194.76.238', '193.194.76.224', '193.194.76.241', '193.194.76.230', '193.194.76.227', '193.194.76.223', '193.194.76.244', '193.194.76.246', '193.194.76.228', '193.194.76.252', '193.194.76.231', '193.194.76.240', '193.194.76.248', '193.194.76.239', '193.194.76.222', '193.194.76.235', '193.194.76.225', '193.194.76.232', '193.194.76.233', '193.194.76.251', '193.194.76.237', '193.194.76.234', '193.194.76.242', '193.194.76.253', '193.194.76.226', '193.194.76.247', '193.194.76.243', '193.194.76.254', '193.194.76.245']","[27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018, 27018]"
107.173.207.177,4.700439718141092,-0.0,"['193.194.76.244', '193.194.76.253', '193.194.76.222', '193.194.76.252', '193.194.76.232', '193.194.76.236', '193.194.76.235', '193.194.76.243', '193.194.76.239', '193.194.76.227', '193.194.76.228', '193.194.76.247', '193.194.76.226', '193.194.76.246', '193.194.76.231', '193.194.76.251', '193.194.76.242', '193.194.76.250', '193.194.76.241', '193.194.76.223', '193.194.76.248', '193.194.76.240', '193.194.76.245', '193.194.76.254', '193.194.76.230', '193.194.76.237']","[445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445, 445]"
107.173.219.156,-0.0,-0.0,['193.194.76.241'],[445]
107.175.25.87,-0.0,-0.0,['193.194.76.253'],[23]
107.208.107.95,-0.0,-0.0,['193.194.76.237'],[80]
107.215.165.13,-0.0,-0.0,['193.194.76.236'],[80]
107.6.169.254,-0.0,-0.0,['193.194.76.254'],[80]
107.6.171.133,-0.0,-0.0,['193.194.76.249'],[110]
107.6.171.134,-0.0,-0.0,['193.194.76.235'],[110]
107.6.183.162,-0.0,-0.0,['193.194.76.222'],[9000]
107.6.183.163,-0.0,-0.0,['193.194.76.238'],[2083]
107.6.183.164,-0.0,-0.0,['193.194.76.228'],[22]
107.6.183.226,-0.0,-0.0,['193.194.76.252'],[80]
107.6.183.230,-0.0,-0.0,['193.194.76.233'],[3389]
108.162.60.245,-0.0,-0.0,['193.194.76.242'],[23]
108.178.16.154,2.4056390622295662,1.561278124459133,"['193.194.76.228', '193.194.76.226', '193.194.76.226', '193.194.76.237', '193.194.76.236', '193.194.76.226', '193.194.76.243', '193.194.76.232']","[443, 8443, 9443, 9443, 8443, 443, 9443, 8443]"
108.178.61.61,-0.0,-0.0,['193.194.76.246'],[7547]
108.35.101.26,1.0,-0.0,"['193.194.76.250', '193.194.76.239']","[445, 445]"
109.100.182.6,-0.0,-0.0,['193.194.76.224'],[445]
109.102.58.152,-0.0,-0.0,['193.194.76.254'],[2323]
109.102.7.250,-0.0,-0.0,['193.194.76.246'],[23]
109.103.178.79,-0.0,-0.0,['193.194.76.238'],[23]
109.107.232.183,-0.0,-0.0,['193.194.76.250'],[23]
109.108.203.59,-0.0,-0.0,['193.194.76.248'],[23]
109.122.65.164,-0.0,-0.0,"['193.194.76.252', '193.194.76.252', '193.194.76.252']","[5555, 5555, 5555]"
109.176.133.128,-0.0,-0.0,['193.194.76.242'],[445]
109.184.49.208,-0.0,-0.0,['193.194.76.242'],[8080]
109.195.203.77,-0.0,-0.0,['193.194.76.252'],[23]
109.197.214.18,-0.0,-0.0,['193.194.76.232'],[23]
109.198.22.217,-0.0,-0.0,['193.194.76.228'],[81]
109.201.25.68,-0.0,-0.0,"['193.194.76.249', '193.194.76.249', '193.194.76.249', '193.194.76.249']","[80, 80, 80, 80]"
109.202.7.6,-0.0,-0.0,['193.194.76.236'],[80]
109.242.229.196,-0.0,-0.0,['193.194.76.246'],[8080]
109.242.232.247,-0.0,-0.0,['193.194.76.229'],[23]
109.69.0.231,-0.0,-0.0,['193.194.76.241'],[8080]
109.70.205.149,-0.0,-0.0,['193.194.76.237'],[23]
109.74.44.156,-0.0,-0.0,['193.194.76.237'],[80]
109.86.122.169,-0.0,-0.0,"['193.194.76.240', '193.194.76.240', '193.194.76.240']","[5555, 5555, 5555]"
